"roi","i2c2_m","i2c2_r","i2c2_diff","discr_m","discr_r","discr_diff","finger_m","finger_r","finger_diff"
1,0.35143766808824,0.369187040644428,-0.0177493725561877,0.812011552837241,0.82731694828469,-0.0153053954474494,0.100917431192661,0.247706422018349,-0.146788990825688
2,0.286900505939361,0.325359265197098,-0.038458759257737,0.901796381635091,0.813353387950162,0.0884429936849292,0.36697247706422,0.229357798165138,0.137614678899083
3,0.354525304147029,0.342237165655454,0.0122881384915757,0.862849889059566,0.828917050691244,0.0339328383683223,0.339449541284404,0.348623853211009,-0.00917431192660551
4,0.335646797911533,0.379839046325916,-0.0441922484143824,0.859671018945212,0.817438982761563,0.042232036183649,0.256880733944954,0.284403669724771,-0.0275229357798165
5,0.349957854455095,0.347003007527435,0.00295484692766018,0.894393241167435,0.806163594470046,0.0882296466973886,0.403669724770642,0.339449541284404,0.0642201834862385
6,0.388823043671242,0.392502471876036,-0.00367942820479383,0.935163948352022,0.821129885646015,0.114034062706007,0.642201834862385,0.339449541284404,0.302752293577982
7,0.495969810410791,0.388735637639722,0.107234172771069,0.909860261637785,0.731683231396534,0.17817703024125,0.330275229357798,0.110091743119266,0.220183486238532
8,0.236147537341696,0.384388146393257,-0.148240609051561,0.748122546509643,0.74864084267754,-0.00051829616789667,0.073394495412844,0.128440366972477,-0.055045871559633
9,0.277211487223886,0.363850580610656,-0.0866390933867699,0.759163253114866,0.789245178358082,-0.0300819252432156,0.073394495412844,0.165137614678899,-0.0917431192660551
10,0.510817379179507,0.455913849858317,0.0549035293211902,0.946716785592932,0.898817108392796,0.0478996772001359,0.577981651376147,0.467889908256881,0.110091743119266
11,0.596910575158116,0.463026445975197,0.133884129182919,0.97251953788651,0.90767286782195,0.06484667006456,0.614678899082569,0.431192660550459,0.18348623853211
12,0.540815880598165,0.402197214013899,0.138618666584266,0.965256540944614,0.908182551817873,0.0570739891267414,0.688073394495413,0.504587155963303,0.18348623853211
13,0.335176064219144,0.280238225168322,0.0549378390508221,0.888707543949479,0.79481353473289,0.0938940092165899,0.348623853211009,0.293577981651376,0.055045871559633
14,0.319320551090635,0.294292693733623,0.0250278573570117,0.842231566428814,0.82936204553177,0.0128695208970439,0.275229357798165,0.293577981651376,-0.018348623853211
15,0.427463449382215,0.35485570148203,0.072607747900185,0.956241505266735,0.91001953788651,0.0462219673802242,0.605504587155963,0.495412844036697,0.110091743119266
16,0.376998344581397,0.283290442421048,0.0937079021603485,0.898615358477744,0.822815326847585,0.0758000316301588,0.403669724770642,0.275229357798165,0.128440366972477
17,0.427336594675339,0.412165162733607,0.0151714319417327,0.934038396194359,0.900782983444274,0.0332554127500857,0.596330275229358,0.44954128440367,0.146788990825688
18,0.47699150468508,0.400718803240108,0.0762727014449722,0.949307679238872,0.804904847243557,0.144402831995315,0.642201834862385,0.174311926605505,0.467889908256881
19,0.358973429847049,0.325521462835302,0.0334519670117474,0.925617991845056,0.812181447502548,0.113436544342508,0.651376146788991,0.376146788990826,0.275229357798165
20,0.466373666590635,0.410116518761318,0.0562571478293171,0.935185185185185,0.819635575942915,0.11554960924227,0.577981651376147,0.302752293577982,0.275229357798165
21,0.480568296542442,0.396687780726205,0.0838805158162368,0.941970353380904,0.822537975763782,0.119432377617122,0.541284403669725,0.293577981651376,0.247706422018349
22,0.41956003819912,0.352717300614493,0.0668427375846266,0.930491845056065,0.777063065369517,0.153428779686548,0.458715596330275,0.165137614678899,0.293577981651376
23,0.23759127084208,0.314249631868811,-0.076658361026731,0.877122802526028,0.769115890083632,0.108006912442396,0.284403669724771,0.256880733944954,0.0275229357798165
24,0.251549538861996,0.350656418693505,-0.0991068798315087,0.644883939238778,0.684886499402628,-0.0400025601638505,0.0275229357798165,0.036697247706422,-0.00917431192660551
25,0.575725103660804,0.429744566766822,0.145980536893982,0.969440197077812,0.888124362895005,0.0813158341828066,0.73394495412844,0.467889908256881,0.26605504587156
26,0.298534275474162,0.269943564837654,0.028590710636508,0.913509131251067,0.886372324159021,0.0271368070920452,0.541284403669725,0.385321100917431,0.155963302752294
27,0.30593912245942,0.399017709884945,-0.0930785874255248,0.931910308926438,0.871134896364254,0.0607754125621839,0.467889908256881,0.412844036697248,0.055045871559633
28,0.404940883590993,0.348493717462772,0.0564471661282213,0.968958013312852,0.854676350662589,0.114281662650263,0.688073394495413,0.440366972477064,0.247706422018349
29,0.379140591092965,0.36268617247617,0.0164544186167951,0.93681728963987,0.890332993544003,0.0464842960958676,0.504587155963303,0.55045871559633,-0.0458715596330276
30,0.297732589715633,0.308635202813683,-0.0109026130980501,0.918535507985049,0.883213859020311,0.0353216489647386,0.532110091743119,0.495412844036697,0.036697247706422
